food_id,user_id,rating
1,15,4
2,1,3
2,15,4
3,5,1
4,2,3
5,2,5
6,2,5
7,2,2
8,2,3
9,2,2
10,1,5
11,2,5
12,2,2
13,2,2
14,15,5
15,2,5
16,2,2
17,2,5
18,2,3
19,2,2
20,5,4
20,1,3
21,2,2
21,5,3
22,2,5
23,2,2
24,2,5
25,2,3
26,2,2
27,2,5
28,30,4
28,1,5
28,3,5
29,1,5
30,1,0
30,2,5
31,1,4
32,29,4
32,5,4
33,2,2
34,2,4
35,5,5
36,2,1
37,2,5
38,4,3
39,2,3
40,4,3
41,15,3
41,5,3
42,2,4
43,2,5
44,2,1
45,4,5
46,1,3
47,1,5
47,15,5
47,5,2
48,2,4
49,4,3
50,15,5
51,5,1
52,1,4
53,2,5
54,2,5
55,2,3
56,2,2
57,2,5
58,5,5
59,1,3
60,2,4
61,2,1
62,2,5
63,15,2
64,2,3
64,18,5
65,1,5
66,2,5
67,2,2
68,3,5
69,3,3
70,15,4
70,5,3
71,15,5
72,3,2
73,3,5
74,1,2
75,3,2
76,1,3
77,3,4
78,5,3
78,15,4
79,3,5
80,8,4
80,15,2
81,3,5
82,3,4
83,3,2
84,3,3
85,3,5
86,3,2
87,3,4
88,3,2
89,3,4
90,3,3
91,3,5
92,3,3
93,3,3
94,18,5
95,18,5
96,18,3
97,18,2
98,18,4
99,18,2
100,18,4
101,18,5
102,18,3
103,18,2
104,18,5
105,18,5
106,18,4
107,18,2
108,18,4
109,18,5
110,18,4
111,1,3
112,18,5
113,18,1
114,1,1
115,19,5
116,19,2
117,19,5
118,1,5
119,19,3
120,19,5
121,1,5
121,19,3
122,19,5
122,1,3
123,19,2
124,19,5
125,19,4
126,19,5
127,1,3
127,19,4
128,19,3
128,1,4
129,19,2
130,19,5
131,19,3
132,20,5
133,19,4
134,1,5
135,19,2
136,19,5
136,1,3
137,19,3
138,20,4
139,20,5
140,20,5
141,4,4
142,1,3
143,20,3
144,20,4
145,20,2
146,20,4
147,20,3
148,4,1
149,20,5
150,20,3
151,20,4
152,20,2
153,20,5
154,20,4
155,20,3
155,4,3
156,20,5
157,15,5
158,20,5
158,15,4
159,20,5
160,20,5
161,1,2
161,20,3
162,20,4
163,20,4
164,20,5
165,20,3
165,15,4
166,20,4
167,1,3
168,4,5
169,1,5
170,1,3
170,15,3
171,22,5
171,21,5
172,21,3
173,21,5
174,21,4
175,21,4
176,21,5
177,21,3
178,21,5
179,21,3
180,21,4
181,21,2
182,21,4
183,21,5
184,21,3
185,21,4
186,21,5
187,21,3
188,21,5
189,21,4
190,21,3
191,22,4
192,23,4
193,23,5
194,23,4
195,23,5
196,23,4
197,23,3
198,23,5
199,23,5
199,29,1
200,23,3
201,22,4
202,22,5
203,22,4
204,22,5
205,22,4
206,22,3
207,15,3
207,22,5
208,22,3
209,22,4
210,22,3
211,22,5
212,22,2
213,22,5
214,22,3
214,15,5
215,22,5
216,22,4
217,15,3
218,22,5
219,22,3
220,23,3
221,23,5
222,23,4
223,23,5
224,23,5
225,15,4
226,23,5
227,23,4
228,23,3
229,23,5
229,15,3
230,23,3
231,22,5
231,25,4
232,25,3
232,23,5
232,17,5
233,25,5
233,17,3
234,25,5
234,17,5
235,17,5
235,25,3
236,17,3
236,25,3
237,25,5
237,17,4
238,17,3
238,25,3
239,17,5
239,25,4
240,25,3
240,17,4
241,17,3
242,17,4
242,26,3
243,17,3
244,17,3
245,17,4
246,17,4
247,17,2
248,17,5
249,17,4
250,17,5
251,17,3
252,24,4
253,24,5
254,24,3
255,24,4
256,24,3
257,24,5
258,24,2
259,24,4
260,24,4
260,8,4
261,24,5
261,25,3
262,24,4
262,25,4
263,25,5
263,24,3
264,24,5
264,25,3
265,25,4
265,5,5
265,24,4
266,25,3
266,24,4
267,28,3
267,25,5
267,24,3
268,24,4
268,28,5
268,25,5
269,28,3
269,24,3
269,25,5
270,13,5
270,24,2
270,25,2
270,28,5
271,24,5
271,28,3
272,28,5
273,28,4
274,28,3
274,4,3
275,28,5
276,5,4
276,28,4
277,28,5
278,28,4
279,28,5
280,28,3
281,28,5
282,28,3
283,28,4
283,4,4
284,28,5
285,28,3
286,5,1
286,28,5
287,27,5
288,27,4
288,4,4
289,27,4
290,5,5
290,27,5
291,27,3
292,27,5
293,27,4
294,27,5
295,27,3
296,27,4
297,27,5
297,4,3
298,27,3
299,27,5
300,27,4
300,5,3
301,27,3
302,27,5
303,27,3
304,27,5
305,27,3
306,27,4
307,26,4
308,26,3
309,26,5
310,5,5
311,26,5
312,26,3
313,26,5
314,26,3
315,26,4
316,26,4
316,1,4
317,26,4
318,5,2
319,10,4
320,10,4
320,1,2
320,7,5
320,26,5
321,4,3
321,11,4
322,26,5
323,29,3
323,5,4
324,26,5
325,26,3
326,4,5
327,26,4
328,26,3
329,16,3
330,26,5
331,6,3
332,6,2
332,13,5
333,13,4
333,6,5
333,5,5
333,4,5
334,13,5
334,4,3
334,6,2
335,6,3
335,13,5
336,13,5
336,6,5
337,6,4
337,13,5
338,29,3
338,6,4
338,13,5
338,14,4
339,13,5
339,6,3
339,26,5
339,4,2
340,13,5
340,6,5
340,1,1
341,13,5
341,6,3
341,4,4
341,26,5
342,13,5
342,6,4
343,13,5
343,6,4
344,6,4
344,13,5
345,6,4
345,13,5
346,6,4
346,13,4
347,4,3
347,6,2
347,13,5
348,6,2
348,13,4
349,6,2
349,13,5
350,6,2
350,4,4
350,2,2
350,13,4
350,9,5
350,15,4
350,14,5
350,12,5
350,16,4
